t,S,I,R,beta,delta,contact_rate,infection_prob,I0
82.75,11341.111957960138,0.366330501393648,10.521711538469868,0.04,0.07142857142857142,2.0,0.02,5
83.0,11341.108298168709,0.3634486767260864,10.528253154566183,0.04,0.07142857142857142,2.0,0.02,5
83.25,11341.104667169058,0.360589521435339,10.53474330950772,0.04,0.07142857142857142,2.0,0.02,5
83.5,11341.101064734681,0.35775285721502587,10.54118240810478,0.04,0.07142857142857142,2.0,0.02,5
83.75,11341.097490640856,0.3549385071609511,10.54757085198362,0.04,0.07142857142857142,2.0,0.02,5
84.0,11341.093944664628,0.35214629576008094,10.553909039611494,0.04,0.07142857142857142,2.0,0.02,5
84.25,11341.090426584798,0.349376048879608,10.560197366321495,0.04,0.07142857142857142,2.0,0.02,5
84.5,11341.086936181906,0.3466275937561017,10.566436224337203,0.04,0.07142857142857142,2.0,0.02,5
84.75,11341.083473238217,0.3439007589847438,10.572626002797133,0.04,0.07142857142857142,2.0,0.02,5
85.0,11341.080037537711,0.34119537450864856,10.578767087779003,0.04,0.07142857142857142,2.0,0.02,5
85.25,11341.076628866067,0.33851127160826655,10.5848598623238,0.04,0.07142857142857142,2.0,0.02,5
85.5,11341.073247010649,0.3358482828908721,10.590904706459662,0.04,0.07142857142857142,2.0,0.02,5
85.75,11341.069891760493,0.3332062422801329,10.59690199722557,0.04,0.07142857142857142,2.0,0.02,5
86.0,11341.066562906299,0.3305849850057619,10.602852108694858,0.04,0.07142857142857142,2.0,0.02,5
86.25,11341.063260240408,0.3279843475932501,10.608755411998532,0.04,0.07142857142857142,2.0,0.02,5
86.5,11341.059983556797,0.3254041678536805,10.614612275348412,0.04,0.07142857142857142,2.0,0.02,5
86.75,11341.056732651066,0.3228442848736214,10.620423064060084,0.04,0.07142857142857142,2.0,0.02,5
87.0,11341.05350732042,0.32030453900509986,10.626188140575685,0.04,0.07142857142857142,2.0,0.02,5
87.25,11341.050307363657,0.31778477185565324,10.631907864486491,0.04,0.07142857142857142,2.0,0.02,5
87.5,11341.047132581165,0.31528482627845933,10.637582592555342,0.04,0.07142857142857142,2.0,0.02,5
87.75,11341.043982774898,0.31280454636254373,10.643212678738886,0.04,0.07142857142857142,2.0,0.02,5
88.0,11341.040857748367,0.31034377742306446,10.648798474209645,0.04,0.07142857142857142,2.0,0.02,5
88.25,11341.03775730663,0.3079023659916726,10.654340327377914,0.04,0.07142857142857142,2.0,0.02,5
88.5,11341.03468125628,0.3054801598069488,10.65983858391348,0.04,0.07142857142857142,2.0,0.02,5
88.75,11341.031629405428,0.303077007804915,10.665293586767175,0.04,0.07142857142857142,2.0,0.02,5
89.0,11341.0286015637,0.30069276010962026,10.670705676192263,0.04,0.07142857142857142,2.0,0.02,5
89.25,11341.025597542211,0.29832726802380144,10.67607518976565,0.04,0.07142857142857142,2.0,0.02,5
89.5,11341.022617153572,0.2959803840196161,10.681402462408931,0.04,0.07142857142857142,2.0,0.02,5
89.75,11341.019660211861,0.2936519617294493,10.686687826409281,0.04,0.07142857142857142,2.0,0.02,5
90.0,11341.016726532624,0.2913418559367917,10.691931611440165,0.04,0.07142857142857142,2.0,0.02,5
90.25,11341.01381593285,0.2890499225671899,10.697134144581893,0.04,0.07142857142857142,2.0,0.02,5
90.5,11341.010928230979,0.28677601867926805,10.70229575034202,0.04,0.07142857142857142,2.0,0.02,5
90.75,11341.008063246869,0.28452000245581904,10.707416750675579,0.04,0.07142857142857142,2.0,0.02,5
91.0,11341.0052208018,0.2822817331949669,10.712497465005146,0.04,0.07142857142857142,2.0,0.02,5
91.25,11341.002400718458,0.28006107130139773,10.71753821024077,0.04,0.07142857142857142,2.0,0.02,5
91.5,11340.999602820923,0.27785787827765995,10.722539300799724,0.04,0.07142857142857142,2.0,0.02,5
91.75,11340.99682693466,0.2756720167155329,10.727501048626111,0.04,0.07142857142857142,2.0,0.02,5
92.0,11340.994072886502,0.27350335028746287,10.732423763210317,0.04,0.07142857142857142,2.0,0.02,5
92.25,11340.991340504654,0.2713517437380672,10.737307751608308,0.04,0.07142857142857142,2.0,0.02,5
92.5,11340.988629618663,0.2692170628757041,10.742153318460772,0.04,0.07142857142857142,2.0,0.02,5
92.75,11340.985940059423,0.26709917456410975,10.746960766012124,0.04,0.07142857142857142,2.0,0.02,5
